sample-id	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath	type
SRR2225470_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2225470_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053256_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053256_L001_R1_001.fastq.gz	NA	NA	single-end
SRR3189289_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR3189289_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2225469_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2225469_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053266_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053266_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2154308_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2154308_L001_R1_001.fastq.gz	NA	NA	single-end
SRR24313860_ZHU_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR24313860_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR24313860_L001_R2_001.fastq.gz	paired-end
SRR30160165_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160165_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160165_L001_R2_001.fastq.gz	paired-end
SRR30160132_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160132_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160132_L001_R2_001.fastq.gz	paired-end
SRR908072_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908072_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908072_L001_R2_001.fastq.gz	paired-end
SRR13855345_BEIHANG_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855345_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855345_L001_R2_001.fastq.gz	paired-end
